Time - Temperature,Temperature - Temperature
835,50.3308
836,50.3124
837,50.2929
838,50.2608
839,50.2431
840,50.2106
841,50.1897
842,50.1698
843,50.1543
844,50.1225
845,50.1066
846,50.0745
847,50.0525
848,50.0369
849,50.0182
850,49.9961
851,49.9615
852,49.9431
853,49.9189
854,49.8889
855,49.8723
856,49.8459
857,49.8177
858,49.7997
859,49.7791
860,49.7535
861,49.7238
862,49.7148
863,49.6971
864,49.6707
865,49.6473
866,49.6285
867,49.5851
868,49.5577
869,49.5422
870,49.5082
871,49.4844
872,49.4692
873,49.4407
874,49.4334
875,49.4013
876,49.3825
877,49.3608
878,49.3359
879,49.3088
880,49.2933
881,49.2723
882,49.264
883,49.2362
884,49.2275
885,49.2047
886,49.1758
887,49.1599
888,49.1466
889,49.1238
890,49.1057
891,49.0754
892,49.0645
893,49.0421
894,49.0176
895,49.002
896,48.9742
897,48.942
898,48.9243
899,48.9131
900,48.8889
901,48.8759
902,48.851
903,48.838
904,48.8163
905,48.7736
906,48.761
907,48.7353
908,48.7201
909,48.6869
910,48.6656
911,48.6385
912,48.615
913,48.6038
914,48.5781
915,48.5575
916,48.538
917,48.5127
918,48.5022
919,48.4711
920,48.4501
921,48.4263
922,48.3858
923,48.3721
924,48.3486
925,48.3193
926,48.303
927,48.2752
928,48.252
929,48.2274
930,48.2079
931,48.1877
932,48.1634
933,48.1378
934,48.1219
935,48.0904
936,48.0647
937,48.0387
938,48.0087
939,47.9967
940,47.9805
941,47.9508
942,47.9331
943,47.9136
944,47.8872
945,47.8716
946,47.8452
947,47.8051
948,47.7989
949,47.7783
950,47.762
951,47.7458
952,47.7273
953,47.7154
954,47.6828
955,47.6582
956,47.6452
957,47.6279
958,47.6101
959,47.5895
960,47.5707
961,47.5389
962,47.5215
963,47.5139
964,47.4875
965,47.4716
966,47.4506
967,47.426
968,47.4177
969,47.3996
970,47.3811
971,47.3616
972,47.3395
973,47.3167
974,47.3084
975,47.2773
976,47.2516
977,47.2419
978,47.2317
979,47.2046
980,47.201
981,47.1753
982,47.1514
983,47.1413
984,47.112
985,47.0921
986,47.0729
987,47.062
988,47.0573
989,47.0327
990,47.0153
991,46.9849
992,46.9712
993,46.9585
994,46.9477
995,46.9332
996,46.9064
997,46.8981
998,46.8706
999,46.8481
1000,46.8373
1001,46.8033
1002,46.7877
1003,46.7783
1004,46.7537
1005,46.7378
1006,46.7225
1007,46.7102
1008,46.6831
1009,46.6578
1010,46.6433
1011,46.6295
1012,46.5915
1013,46.581
1014,46.5531
1015,46.5426
1016,46.518
1017,46.4941
1018,46.4815
1019,46.467
1020,46.4489
1021,46.4301
1022,46.4192
1023,46.4015
1024,46.375
1025,46.3591
1026,46.3272
1027,46.3164
1028,46.3012
1029,46.2751
1030,46.2563
1031,46.2479
1032,46.2204
1033,46.1998
1034,46.1849
1035,46.1592
1036,46.1495
1037,46.1288
1038,46.1085
1039,46.0832
1040,46.0701
1041,46.0499
1042,46.031
1043,46.0111
1044,46.001
1045,45.9796
1046,45.9572
1047,45.9423
1048,45.9148
1049,45.8825
1050,45.8731
1051,45.8521
1052,45.8195
1053,45.8083
1054,45.7877
1055,45.7608
1056,45.7264
1057,45.7177
1058,45.6942
1059,45.6714
1060,45.6533
1061,45.6359
1062,45.6189
1063,45.5899
1064,45.5743
1065,45.5602
1066,45.5286
1067,45.5065
1068,45.4797
1069,45.4555
1070,45.4392
1071,45.4221
1072,45.4018
1073,45.3758
1074,45.3605
1075,45.3323
1076,45.3236
1077,45.3022
1078,45.2761
1079,45.25
1080,45.2279
1081,45.204
1082,45.1902
1083,45.1707
1084,45.1576
1085,45.1341
1086,45.108
1087,45.0996
1088,45.0826
1089,45.0692
1090,45.0489
1091,45.0253
1092,45.0134
1093,45.0036
1094,44.9764
1095,44.9644
1096,44.9384
1097,44.9278
1098,44.9115
1099,44.8825
1100,44.8785
1101,44.8604
1102,44.8445
1103,44.8133
1104,44.8173
1105,44.8024
1106,44.7836
1107,44.7803
1108,44.7607
1109,44.7412
1110,44.7314
1111,44.719
1112,44.7067
1113,44.6933
1114,44.6763
1115,44.648
1116,44.6509
1117,44.6204
1118,44.6165
1119,44.5943
1120,44.5816
1121,44.5559
1122,44.5454
1123,44.5233
1124,44.5048
1125,44.4812
1126,44.4674
1127,44.4464
1128,44.4395
1129,44.4131
1130,44.384
1131,44.3717
1132,44.3637
1133,44.3478
1134,44.3173
1135,44.3097
1136,44.2981
1137,44.2825
1138,44.2684
1139,44.2473
1140,44.235
1141,44.2325
1142,44.1991
1143,44.1944
1144,44.1708
1145,44.152
1146,44.1349
1147,44.115
1148,44.1102
1149,44.0863
1150,44.0689
1151,44.0526
1152,44.0304
1153,44.0203
1154,43.9949
1155,43.9829
1156,43.9543
1157,43.9409
1158,43.9097
1159,43.9006
1160,43.8933
1161,43.8672
1162,43.8498
1163,43.8371
1164,43.8135
1165,43.8037
1166,43.7816
1167,43.762
1168,43.7431
1169,43.7294
1170,43.7065
1171,43.6905
1172,43.6702
1173,43.6582
1174,43.6314
1175,43.6075
1176,43.5915
1177,43.561
1178,43.5519
1179,43.5334
1180,43.5066
1181,43.4884
1182,43.4648
1183,43.4609
1184,43.4347
1185,43.4296
1186,43.4101
1187,43.3876
1188,43.3727
1189,43.3571
1190,43.3255
1191,43.3117
1192,43.2968
1193,43.2794
1194,43.2754
1195,43.2467
1196,43.2279
1197,43.2173
1198,43.189
1199,43.1785
1200,43.1513
1201,43.1429
1202,43.1183
1203,43.1197
1204,43.099
1205,43.082
1206,43.0594
1207,43.0333
1208,43.0221
1209,43.0014
1210,42.9814
1211,42.9567
1212,42.9538
1213,42.936
1214,42.9248
1215,42.8935
1216,42.8685
1217,42.8674
1218,42.8536
1219,42.8384
1220,42.8082
1221,42.801
1222,42.7777
1223,42.7745
1224,42.7563
1225,42.736
1226,42.7273
1227,42.7015
1228,42.6982
1229,42.6742
1230,42.663
1231,42.6412
1232,42.6281
1233,42.606
1234,42.5944
1235,42.5744
1236,42.5573
1237,42.5373
1238,42.5155
1239,42.4956
1240,42.4869
1241,42.4611
1242,42.4585
1243,42.4291
1244,42.4182
1245,42.4095
1246,42.3917
1247,42.3699
1248,42.3637
1249,42.3496
1250,42.3267
1251,42.3158
1252,42.2896
1253,42.2791
1254,42.2693
1255,42.2519
1256,42.2315
1257,42.2126
1258,42.1974
1259,42.1814
1260,42.164
1261,42.1596
1262,42.1451
1263,42.1251
