Time (s) - Voltage,Voltage (V) - Voltage
0.077,0.728519897
0.077,0.367110324
0.077,-0.060472834
0.077,-0.47787544
0.077,-0.806198222
0.077,-0.979267595
0.078,-0.966541906
0.078,-0.768021154
0.078,-0.424427546
0.078,0.000610474
0.078,0.423103356
0.078,0.769242103
0.078,0.967762854
0.078,0.980488544
0.078,0.809964308
0.078,0.481641526
0.079,0.066784058
0.079,-0.363344237
0.079,-0.727298949
0.079,-0.946180803
0.079,-0.989448147
0.079,-0.84437529
0.079,-0.536413611
0.079,-0.126646418
0.079,0.308572153
0.079,0.685252554
0.08,0.929585787
0.08,0.995759371
0.08,0.876137892
0.08,0.588537316
0.08,0.191495812
0.08,-0.246267897
0.08,-0.633128849
0.08,-0.900368322
0.08,-0.99708356
0.08,-0.90291346
0.081,-0.635673986
0.081,-0.248813034
0.081,0.186405537
0.081,0.58344704
0.081,0.876137892
0.081,0.995759371
0.081,0.929585787
0.081,0.685252554
0.081,0.311117291
0.081,-0.12410128
0.082,-0.531323335
0.082,-0.841830152
0.082,-0.989448147
0.082,-0.951271079
0.082,-0.729844087
0.082,-0.368434513
0.082,0.061693782
0.082,0.481641526
0.082,0.80741917
0.082,0.980488544
0.083,0.970307992
0.083,0.771787241
0.083,0.428193632
0.083,0.003155612
0.083,-0.421882408
0.083,-0.768021154
0.083,-0.966541906
0.083,-0.979267595
0.083,-0.80874336
0.083,-0.482965716
0.084,-0.06556311
0.084,0.367110324
0.084,0.728519897
0.084,0.947401752
0.084,0.990669095
0.084,0.845596238
0.084,0.537634559
0.084,0.127867366
0.084,-0.307351205
0.084,-0.681486468
0.085,-0.925819701
0.085,-0.994538422
0.085,-0.874916944
0.085,-0.587316367
0.085,-0.190274864
0.085,0.247488845
0.085,0.634349797
0.085,0.904134408
0.085,0.998304509
0.085,0.904134408
0.086,0.639440073
0.086,0.250033983
0.086,-0.18263945
0.086,-0.58477123
0.086,-0.872371806
0.086,-0.994538422
0.086,-0.930909976
0.086,-0.686576743
0.086,-0.309896343
0.086,0.125322229
0.087,0.532544283
0.087,0.8430511
0.087,0.990669095
0.087,0.952492027
0.087,0.731065035
0.087,0.372200599
0.087,-0.057927696
0.087,-0.47787544
0.087,-0.803653084
0.087,-0.979267595
0.088,-0.966541906
0.088,-0.770566292
0.088,-0.426972683
0.088,-0.001934664
0.088,0.423103356
0.088,0.769242103
0.088,0.967762854
0.088,0.980488544
0.088,0.809964308
0.088,0.484186664
0.089,0.066784058
0.089,-0.363344237
0.089,-0.727298949
0.089,-0.948725941
0.089,-0.989448147
0.089,-0.84437529
0.089,-0.536413611
0.089,-0.129191556
0.089,0.306027015
0.089,0.680162278
0.09,0.927040649
0.09,0.995759371
0.09,0.87868303
0.09,0.591082454
0.09,0.191495812
0.09,-0.243722759
0.09,-0.633128849
0.09,-0.900368322
0.09,-0.99708356
0.09,-0.90291346
0.091,-0.638219124
0.091,-0.251358172
0.091,0.183860399
0.091,0.58344704
0.091,0.873592754
0.091,0.995759371
0.091,0.929585787
0.091,0.685252554
0.091,0.313662429
0.091,-0.119011004
0.092,-0.531323335
0.092,-0.841830152
0.092,-0.989448147
0.092,-0.951271079
0.092,-0.729844087
0.092,-0.370979651
0.092,0.059148645
0.092,0.476551251
0.092,0.80741917
0.092,0.980488544
0.093,0.970307992
0.093,0.771787241
0.093,0.428193632
0.093,0.00570075
0.093,-0.421882408
0.093,-0.765476016
0.093,-0.966541906
0.093,-0.979267595
0.093,-0.80874336
0.093,-0.485510854
0.094,-0.06556311
0.094,0.364565186
0.094,0.725974759
0.094,0.947401752
0.094,0.990669095
0.094,0.845596238
0.094,0.540179697
0.094,0.130412504
0.094,-0.304806067
0.094,-0.67894133
0.095,-0.925819701
0.095,-0.994538422
0.095,-0.874916944
0.095,-0.589861505
0.095,-0.190274864
0.095,0.244943707
0.095,0.634349797
0.095,0.901589271
0.095,0.998304509
0.095,0.906679546
0.096,0.639440073
0.096,0.255124258
0.096,-0.18263945
0.096,-0.582226092
0.096,-0.872371806
0.096,-0.994538422
0.096,-0.928364838
0.096,-0.689121881
0.096,-0.31244148
0.096,0.120231953
0.097,0.532544283
0.097,0.840505962
0.097,0.988123957
0.097,0.952492027
0.097,0.733610173
0.097,0.372200599
0.097,-0.057927696
0.097,-0.47787544
0.097,-0.803653084
0.097,-0.979267595
0.098,-0.966541906
0.098,-0.770566292
0.098,-0.429517821
0.098,-0.001934664
0.098,0.420558218
0.098,0.766696965
0.098,0.967762854
0.098,0.980488544
0.098,0.812509446
0.098,0.486731802
0.099,0.069329196
0.099,-0.360799099
0.099,-0.722208673
0.099,-0.946180803
0.099,-0.989448147
0.099,-0.841830152
0.099,-0.538958748
0.099,-0.131736694
0.099,0.303481878
0.099,0.680162278
0.1,0.927040649
0.1,0.998304509
0.1,0.87868303
0.1,0.591082454
0.1,0.191495812
0.1,-0.243722759
0.1,-0.630583711
0.1,-0.900368322
0.1,-0.99708356
0.1,-0.90291346
0.101,-0.640764262
0.101,-0.25390331
0.101,0.181315261
0.101,0.580901902
0.101,0.873592754
0.101,0.998304509
0.101,0.929585787
0.101,0.687797692
0.101,0.316207567
0.101,-0.119011004
0.102,-0.528778197
0.102,-0.836739876
0.102,-0.986903009
0.102,-0.951271079
0.102,-0.732389224
0.102,-0.368434513
0.102,0.056603507
0.102,0.476551251
0.102,0.804874033
0.102,0.980488544
0.103,0.970307992
0.103,0.771787241
0.103,0.43073877
0.103,0.00570075
0.103,-0.41933727
0.103,-0.765476016
0.103,-0.963996768
0.103,-0.979267595
0.103,-0.811288498
0.103,-0.485510854
0.104,-0.070653385
0.104,0.362020048
0.104,0.723429622
0.104,0.947401752
0.104,0.990669095
0.104,0.848141376
0.104,0.540179697
0.104,0.132957642
0.104,-0.304806067
0.104,-0.67894133
0.105,-0.925819701
0.105,-0.994538422
0.105,-0.877462082
0.105,-0.592406643
0.105,-0.192820002
0.105,0.244943707
0.105,0.631804659
0.105,0.901589271
0.105,0.998304509
0.105,0.909224684
0.106,0.641985211
0.106,0.255124258
0.106,-0.180094313
0.106,-0.579680954
0.106,-0.872371806
0.106,-0.994538422
0.106,-0.928364838
0.106,-0.689121881
0.106,-0.31244148
0.106,0.117686815
0.107,0.529999146
0.107,0.837960824
0.107,0.988123957
0.107,0.952492027
0.107,0.733610173
0.107,0.374745737
0.107,-0.055382558
0.107,-0.472785165
0.107,-0.803653084
0.107,-0.976722457
0.108,-0.969087044
0.108,-0.775656568
0.108,-0.429517821
0.108,-0.007024939
0.108,0.420558218
0.108,0.764151827
0.108,0.965217717
0.108,0.980488544
0.108,0.812509446
0.108,0.48927694
0.109,0.071874334
0.109,-0.360799099
0.109,-0.722208673
0.109,-0.946180803
0.109,-0.989448147
0.109,-0.846920427
0.109,-0.538958748
0.109,-0.131736694
0.109,0.306027015
0.109,0.67761714
0.11,0.927040649
0.11,0.998304509
0.11,0.87868303
0.11,0.593627592
0.11,0.19404095
0.11,-0.238632483
0.11,-0.628038573
0.11,-0.900368322
0.11,-0.99708356
0.11,-0.905458598
0.111,-0.640764262
0.111,-0.256448448
0.111,0.181315261
0.111,0.580901902
0.111,0.871047616
0.111,0.995759371
0.111,0.932130925
0.111,0.687797692
0.111,0.318752705
0.111,-0.116465867
0.112,-0.526233059
0.112,-0.836739876
0.112,-0.989448147
0.112,-0.951271079
0.112,-0.732389224
0.112,-0.373524789
0.112,0.054058369
0.112,0.474006113
0.112,0.804874033
0.112,0.980488544
0.113,0.970307992
0.113,0.776877516
0.113,0.43073877
0.113,0.010791026
0.113,-0.416792132
0.113,-0.762930879
0.113,-0.963996768
0.113,-0.979267595
0.113,-0.811288498
0.113,-0.488055992
0.114,-0.070653385
0.114,0.35947491
0.114,0.723429622
0.114,0.947401752
0.114,0.990669095
0.114,0.848141376
0.114,0.540179697
0.114,0.13550278
0.114,-0.299715791
0.114,-0.676396192
0.115,-0.923274563
0.115,-0.994538422
0.115,-0.877462082
0.115,-0.592406643
0.115,-0.19536514
0.115,0.242398569
0.115,0.629259521
0.115,0.899044133
0.115,0.998304509
0.115,0.906679546
0.116,0.641985211
0.116,0.257669396
0.116,-0.177549175
0.116,-0.579680954
0.116,-0.869826668
0.116,-0.994538422
0.116,-0.930909976
0.116,-0.689121881
0.116,-0.314986618
0.116,0.115141677
0.117,0.527454008
0.117,0.837960824
0.117,0.988123957
0.117,0.952492027
0.117,0.733610173
0.117,0.374745737
0.117,-0.05283742
0.117,-0.470240027
0.117,-0.801107946
0.117,-0.976722457
0.118,-0.969087044
0.118,-0.77311143
0.118,-0.432062959
0.118,-0.007024939
0.118,0.41801308
0.118,0.766696965
0.118,0.965217717
0.118,0.983033682
0.118,0.812509446
0.118,0.491822078
0.119,0.074419472
0.119,-0.355708824
0.119,-0.719663535
0.119,-0.943635665
0.119,-0.989448147
0.119,-0.846920427
0.119,-0.541503886
0.119,-0.134281831
0.119,0.30093674
0.119,0.675072003
0.12,0.924495511
0.12,0.998304509
0.12,0.881228168
0.12,0.593627592
0.12,0.196586088
0.12,-0.238632483
0.12,-0.628038573
0.12,-0.897823184
0.12,-0.99708356
0.12,-0.905458598
0.121,-0.6433094
0.121,-0.256448448
0.121,0.178770123
0.121,0.580901902
0.121,0.871047616
0.121,0.995759371
0.121,0.934676062
0.121,0.69034283
0.121,0.318752705
0.121,-0.116465867
0.122,-0.523687921
0.122,-0.836739876
0.122,-0.989448147
0.122,-0.951271079
0.122,-0.734934362
0.122,-0.376069926
0.122,0.054058369
0.122,0.471460975
0.122,0.802328895
0.122,0.980488544
0.123,0.970307992
0.123,0.776877516
0.123,0.435829045
0.123,0.010791026
0.123,-0.414246994
0.123,-0.760385741
0.123,-0.963996768
0.123,-0.981812733
0.123,-0.813833635
0.123,-0.488055992
0.124,-0.070653385
0.124,0.356929772
0.124,0.720884484
0.124,0.947401752
0.124,0.990669095
0.124,0.848141376
0.124,0.542724835
0.124,0.13550278
0.124,-0.299715791
0.124,-0.676396192
0.125,-0.923274563
0.125,-0.994538422
0.125,-0.880007219
0.125,-0.592406643
0.125,-0.197910278
0.125,0.237308294
0.125,0.629259521
0.125,0.899044133
0.125,0.998304509
0.126,0.909224684
0.126,0.647075486
0.126,0.262759672
0.126,-0.175004037
0.126,-0.577135816
0.126,-0.869826668
0.126,-0.994538422
0.126,-0.933455114
0.126,-0.689121881
0.126,-0.317531756
0.127,0.115141677
0.127,0.52490887
0.127,0.835415687
0.127,0.988123957
0.127,0.952492027
0.127,0.736155311
0.127,0.377290875
0.127,-0.050292283
0.127,-0.470240027
0.127,-0.801107946
0.128,-0.976722457
0.128,-0.969087044
0.128,-0.775656568
0.128,-0.434608097
0.128,-0.009570077
0.128,0.412922805
0.128,0.761606689
0.128,0.965217717
0.128,0.983033682
0.128,0.815054584
0.128,0.491822078
0.129,0.074419472
0.129,-0.355708824
0.129,-0.719663535
0.129,-0.946180803
0.129,-0.991993284
0.129,-0.849465565
0.129,-0.546594162
0.129,-0.136826969
0.129,0.298391602
0.129,0.675072003
0.13,0.924495511
0.13,0.998304509
0.13,0.881228168
0.13,0.596172729
0.13,0.201676364
0.13,-0.236087345
0.13,-0.625493435
0.13,-0.897823184
0.13,-0.994538422
0.13,-0.905458598
0.131,-0.645854538
0.131,-0.258993586
0.131,0.176224985
0.131,0.578356765
0.131,0.868502479
0.131,0.995759371
0.131,0.932130925
0.131,0.69034283
0.131,0.321297842
0.131,-0.113920729
0.132,-0.523687921
0.132,-0.836739876
0.132,-0.986903009
0.132,-0.953816217
0.132,-0.734934362
0.132,-0.376069926
0.132,0.051513231
0.132,0.471460975
0.132,0.799783757
0.132,0.980488544
0.133,0.970307992
0.133,0.776877516
0.133,0.438374183
0.133,0.013336163
0.133,-0.414246994
0.133,-0.760385741
0.133,-0.963996768
0.133,-0.979267595
0.133,-0.813833635
0.133,-0.490601129
0.134,-0.075743661
0.134,0.356929772
0.134,0.720884484
0.134,0.944856614
0.134,0.993214233
0.134,0.850686514
0.134,0.545269973
0.134,0.140593056
0.134,-0.294625516
0.134,-0.671305916
0.135,-0.923274563
0.135,-0.99708356
0.135,-0.880007219
0.135,-0.597496919
0.135,-0.197910278
0.135,0.237308294
0.135,0.626714384
0.135,0.899044133
0.135,0.998304509
0.135,0.909224684
0.136,0.647075486
0.136,0.260214534
0.136,-0.175004037
0.136,-0.577135816
0.136,-0.86728153
0.136,-0.994538422
0.136,-0.930909976
0.136,-0.691667019
0.136,-0.320076894
0.136,0.112596539
0.137,0.527454008
0.137,0.835415687
0.137,0.988123957
0.137,0.955037165
0.137,0.736155311
0.137,0.379836013
0.137,-0.047747145
0.137,-0.467694889
0.137,-0.798562808
0.137,-0.976722457
0.138,-0.969087044
0.138,-0.775656568
0.138,-0.437153235
0.138,-0.012115215
0.138,0.412922805
0.138,0.759061551
0.138,0.965217717
0.138,0.980488544
0.138,0.815054584
0.138,0.494367216
0.139,0.074419472
0.139,-0.353163686
0.139,-0.717118397
0.139,-0.943635665
0.139,-0.991993284
0.139,-0.849465565
0.139,-0.544049024
0.139,-0.139372107
0.139,0.295846464
0.139,0.675072003
0.14,0.924495511
0.14,0.995759371
0.14,0.881228168
0.14,0.598717867
0.14,0.201676364
0.14,-0.233542207
0.14,-0.625493435
0.14,-0.895278046
0.14,-0.99708356
0.14,-0.908003736
0.141,-0.645854538
0.141,-0.261538724
0.141,0.176224985
0.141,0.575811627
0.141,0.871047616
0.141,0.995759371
0.141,0.9372212
0.141,0.692887967
0.141,0.321297842
0.141,-0.111375591
0.142,-0.523687921
0.142,-0.834194738
0.142,-0.989448147
0.142,-0.953816217
0.142,-0.734934362
0.142,-0.381160202
0.142,0.051513231
0.142,0.468915837
0.142,0.799783757
0.142,0.977943406
0.143,0.970307992
0.143,0.776877516
0.143,0.440919321
0.143,0.013336163
0.143,-0.411701856
0.143,-0.760385741
0.143,-0.963996768
0.143,-0.981812733
0.143,-0.813833635
0.143,-0.493146267
0.144,-0.078288799
0.144,0.354384634
0.144,0.718339346
0.144,0.947401752
0.144,0.990669095
0.144,0.850686514
0.144,0.54781511
0.144,0.140593056
0.144,-0.294625516
0.144,-0.671305916
0.145,-0.920729425
0.145,-0.99708356
0.145,-0.882552357
0.145,-0.597496919
0.145,-0.200455415
0.145,0.234763156
0.145,0.624169246
0.145,0.896498995
0.145,0.998304509
0.145,0.911769822
0.146,0.649620624
0.146,0.26530481
0.146,-0.172458899
0.146,-0.57204554
0.146,-0.86728153
0.146,-0.994538422
0.146,-0.933455114
0.146,-0.694212157
0.146,-0.320076894
0.146,0.112596539
0.147,0.522363732
0.147,0.835415687
0.147,0.988123957
0.147,0.955037165
0.147,0.736155311
0.147,0.379836013
0.147,-0.047747145
0.147,-0.467694889
0.147,-0.796017671
0.147,-0.976722457
0.148,-0.969087044
0.148,-0.775656568
0.148,-0.439698373
0.148,-0.014660353
0.148,0.410377667
0.148,0.761606689
0.148,0.962672579
0.148,0.983033682
0.148,0.817599722
0.148,0.494367216
0.149,0.079509747
0.149,-0.350618548
0.149,-0.71457326
0.149,-0.943635665
0.149,-0.989448147
0.149,-0.852010703
0.149,-0.546594162
0.149,-0.141917245
0.149,0.295846464
0.149,0.672526865
0.15,0.924495511
0.15,0.998304509
0.15,0.883773306
0.15,0.601263005
0.15,0.204221502
0.15,-0.230997069
0.15,-0.622948297
0.15,-0.895278046
0.15,-0.99708356
0.15,-0.908003736
0.151,-0.645854538
0.151,-0.264083861
0.151,0.173679848
0.151,0.575811627
0.151,0.865957341
0.151,0.995759371
0.151,0.934676062
0.151,0.697978243
0.151,0.326388118
0.151,-0.108830453
0.152,-0.521142784
0.152,-0.834194738
0.152,-0.986903009
0.152,-0.953816217
0.152,-0.734934362
0.152,-0.381160202
0.152,0.046422955
0.152,0.468915837
0.152,0.797238619
0.152,0.977943406
0.153,0.970307992
0.153,0.779422654
0.153,0.440919321
0.153,0.018426439
0.153,-0.409156718
0.153,-0.755295465
0.153,-0.963996768
0.153,-0.981812733
0.153,-0.816378773
0.153,-0.495691405
0.154,-0.078288799
0.154,0.351839497
0.154,0.715794208
0.154,0.944856614
0.154,0.990669095
0.154,0.853231652
0.154,0.54781511
0.154,0.143138193
0.154,-0.294625516
0.154,-0.668760778
0.155,-0.920729425
0.155,-0.994538422
0.155,-0.882552357
0.155,-0.600042057
0.155,-0.203000553
0.155,0.234763156
0.155,0.621624108
0.155,0.896498995
0.155,0.998304509
0.155,0.909224684
0.156,0.649620624
0.156,0.26530481
0.156,-0.169913761
0.156,-0.57204554
0.156,-0.864736392
0.156,-0.994538422
0.156,-0.933455114
0.156,-0.694212157
0.156,-0.32516717
0.156,0.110051401
0.157,0.522363732
0.157,0.835415687
0.157,0.988123957
0.157,0.955037165
0.157,0.741245586
0.157,0.384926288
0.157,-0.042656869
0.157,-0.465149751
0.157,-0.796017671
0.157,-0.976722457
0.158,-0.971632182
0.158,-0.780746843
0.158,-0.439698373
0.158,-0.017205491
0.158,0.410377667
0.158,0.759061551
0.158,0.962672579
0.158,0.983033682
0.158,0.817599722
0.158,0.496912354
0.159,0.082054885
0.159,-0.353163686
0.159,-0.71457326
0.159,-0.943635665
0.159,-0.991993284
0.159,-0.849465565
0.159,-0.5491393
0.159,-0.141917245
0.159,0.293301326
0.159,0.672526865
0.16,0.921950373
0.16,0.995759371
0.16,0.883773306
0.16,0.601263005
0.16,0.206766639
0.16,-0.230997069
0.16,-0.620403159
0.16,-0.895278046
0.16,-0.994538422
0.16,-0.910548873
0.161,-0.648399676
0.161,-0.264083861
0.161,0.168589572
0.161,0.573266489
0.161,0.865957341
0.161,0.995759371
0.161,0.934676062
0.161,0.695433105
0.161,0.326388118
0.161,-0.106285315
0.162,-0.518597646
0.162,-0.834194738
0.162,-0.986903009
0.162,-0.953816217
0.162,-0.740024638
0.162,-0.38370534
0.162,0.043877818
0.162,0.463825562
0.162,0.799783757
0.162,0.980488544
0.163,0.970307992
0.163,0.781967792
0.163,0.443464459
0.163,0.018426439
0.163,-0.406611581
0.163,-0.757840603
0.163,-0.96145163
0.163,-0.981812733
0.163,-0.816378773
0.163,-0.495691405
0.164,-0.080833937
0.164,0.351839497
0.164,0.715794208
0.164,0.942311476
0.164,0.993214233
0.164,0.853231652
0.164,0.550360248
0.164,0.145683331
0.164,-0.292080378
0.164,-0.668760778
0.165,-0.920729425
0.165,-0.99708356
0.165,-0.882552357
0.165,-0.600042057
0.165,-0.205545691
0.165,0.22967288
0.165,0.621624108
0.165,0.896498995
0.165,0.998304509
0.165,0.911769822
0.166,0.652165762
0.166,0.267849948
0.166,-0.167368623
0.166,-0.569500403
0.166,-0.864736392
0.166,-0.994538422
0.166,-0.936000252
0.166,-0.696757295
0.166,-0.32516717
0.166,0.104961126
0.167,0.519818594
0.167,0.832870549
0.167,0.988123957
0.167,0.955037165
0.167,0.741245586
0.167,0.384926288
0.167,-0.042656869
0.167,-0.462604613
0.167,-0.796017671
0.167,-0.97417732
0.168,-0.971632182
0.168,-0.780746843
0.168,-0.439698373
0.168,-0.017205491
0.168,0.407832529
0.168,0.756516414
0.168,0.962672579
0.168,0.983033682
0.168,0.82014486
0.168,0.499457491
0.169,0.084600023
0.169,-0.34807341
0.169,-0.712028122
0.169,-0.941090528
0.169,-0.991993284
0.169,-0.852010703
0.169,-0.5491393
0.169,-0.144462383
0.169,0.290756188
0.169,0.669981727
0.17,0.921950373
0.17,0.998304509
0.17,0.886318443
0.17,0.603808143
0.17,0.209311777
0.17,-0.230997069
0.17,-0.620403159
0.17,-0.892732909
0.17,-0.99708356
0.17,-0.913094011
0.171,-0.648399676
0.171,-0.266628999
0.171,0.168589572
0.171,0.570721351
0.171,0.865957341
0.171,0.995759371
0.171,0.9372212
0.171,0.700523381
0.171,0.328933256
0.171,-0.101195039
0.172,-0.518597646
0.172,-0.8316496
0.172,-0.984357871
0.172,-0.953816217
0.172,-0.740024638
0.172,-0.386250478
0.172,0.04133268
0.172,0.463825562
0.172,0.794693481
0.172,0.977943406
0.173,0.97285313
0.173,0.781967792
0.173,0.443464459
0.173,0.020971577
0.173,-0.404066443
0.173,-0.755295465
0.173,-0.96145163
0.173,-0.981812733
0.173,-0.818923911
0.173,-0.495691405
0.174,-0.083379075
0.174,0.349294359
